price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,total_rooms,area_per_room,price_per_area,room_ratio,amenities_score,log_area,log_price
13300000,7420,4,2.0,3.0,1,0,0,0,1,2.0,1,0,6.0,1236.6666666666667,1792.4528301886792,2.0,3,8.912069097970134,16.40327466837995
12250000,8960,4,4.0,4.0,1,0,0,0,1,3.0,0,0,8.0,1120.0,1367.1875,1.0,2,9.10063710688422,16.32103657658766
12250000,9960,3,2.0,2.0,1,0,1,0,0,2.0,1,1,5.0,1992.0,1229.9196787148594,1.5,3,9.206432747145165,16.32103657658766
12215000,7500,4,2.0,2.0,1,0,1,0,1,3.0,1,0,6.0,1250.0,1628.6666666666667,2.0,4,8.922791623969637,16.31817534454053
11410000,7420,4,1.0,2.0,1,1,1,0,1,2.0,0,0,5.0,1484.0,1537.7358490566037,4.0,4,8.912069097970134,16.250000809480674
10850000,7500,3,3.0,1.0,1,0,1,0,1,2.0,1,1,6.0,1250.0,1446.6666666666667,1.0,4,8.922791623969637,16.19967573011664
10150000,8580,4,3.0,4.0,1,0,0,0,1,2.0,1,1,7.0,1225.7142857142858,1182.983682983683,1.3333333333333333,3,9.057305735807121,16.132984361974234
10150000,16200,5,3.0,2.0,1,0,0,0,0,0.0,0,2,8.0,2025.0,626.5432098765432,1.6666666666666667,1,9.692828247710418,16.132984361974234
9870000,8100,4,1.0,2.0,1,1,1,0,1,2.0,1,0,5.0,1620.0,1218.5185185185185,4.0,5,8.999742789830492,16.105010512726782
9800000,5750,3,2.0,4.0,1,1,0,0,1,1.0,1,2,5.0,1150.0,1704.3478260869565,1.5,4,8.657129031713755,16.097893045681612
9800000,13200,3,1.0,2.0,1,0,1,0,1,0.0,1,0,4.0,3300.0,742.4242424242424,3.0,4,9.488047863280759,16.097893045681612
9681000,6000,4,3.0,2.0,1,1,1,1,0,2.0,0,1,7.0,857.1428571428571,1613.5,1.3333333333333333,4,8.699681400989514,16.085675862997316
9310000,6550,4,2.0,2.0,1,0,0,0,1,1.0,1,1,6.0,1091.6666666666667,1421.3740458015268,2.0,3,8.787372988731876,16.04659975666463
9240000,3500,4,2.0,2.0,1,0,0,1,0,2.0,0,0,6.0,583.3333333333334,2640.0,2.0,2,8.160803920954665,16.039052551842968
9240000,7800,3,2.0,2.0,1,0,0,0,0,0.0,1,1,5.0,1560.0,1184.6153846153845,1.5,2,8.962007209588313,16.039052551842968
9100000,6000,4,1.0,2.0,1,0,1,0,0,2.0,0,1,5.0,1200.0,1516.6666666666667,4.0,2,8.699681400989514,16.02378508137718
9100000,6600,4,2.0,2.0,1,1,1,0,1,1.0,1,2,6.0,1100.0,1378.7878787878788,2.0,5,8.79497643168877,16.02378508137718
8960000,8500,3,2.0,4.0,1,0,0,0,1,2.0,0,0,5.0,1700.0,1054.1176470588234,1.5,2,9.04793908261736,16.00828089655825
8890000,4600,3,2.0,2.0,1,1,0,0,1,2.0,0,0,5.0,920.0,1932.608695652174,1.5,3,8.434028950155469,16.00043771997602
8855000,6420,3,2.0,2.0,1,0,0,0,1,1.0,1,1,5.0,1284.0,1379.2834890965732,1.5,3,8.76732914779405,15.996492942129612
8750000,4320,3,1.0,2.0,1,0,1,1,0,2.0,0,1,4.0,1080.0,2025.462962962963,3.0,3,8.371242135931933,15.984564372619506
8680000,7155,3,2.0,1.0,1,1,1,0,1,2.0,0,2,5.0,1431.0,1213.1376659678547,1.5,4,8.87570644462861,15.976532201843899
